Cuisy-en-Almont	74023	3.2476840	49.4220775
Pargny-la-Dhuys	2952613	3.5661584	48.9580322
Villers-au-Flos	1216600	2.9046527	50.0806644
Raye-sur-Authie	2259448	1.9562692	50.3031708
Lintot-les-Bois	3019504	1.0702512	49.8002792
Oris-en-Rattier	271514	5.8863536	44.9328891
Plessis-de-Roye	1547430	2.8361445	49.5717574
Jouy-aux-Arches	1410876	6.0864397	49.0667098
Layrac-sur-Tarn	1267725	1.5600167	43.8326638
Origny-le-Butin	2804742	0.4689589	48.3762869
Virieu-le-Petit	147328	5.7316370	45.9057657
Bernadets-Debat	2502662	0.3150087	43.3526816
Valdehijaderos	343879	-5.8473850	40.4206141
Vert-en-Drouais	70169	1.2893133	48.7498449
Semur-en-Vallon	107377	0.6757800	48.0209031
Nuret-le-Ferron	2142790	1.4315631	46.6879304
Dangé-Saint-Romain	275069	0.6039202	46.9260822
Marienrachdorf	533587	7.7136887	50.5473363
Negeri Sembilan	2939674	102.2141255	2.7470404
Süderfahrenstedt	1149337	9.5772495	54.5859541
Egyházasharaszti	575169	18.3339861	45.7939191
Central Finland	1701740	25.5056832	62.5310139
Acapulco de Juárez	5605454	-99.6951336	16.9587964
Municipio Benítez	5805461	-63.0943768	10.3303713
Duarche/Dualchi	40349	8.8890587	40.2343721
Princesa Isabel	301441	-37.9990409	-7.6478259
Boa Vista do Buricá	242717	-54.0991269	-27.6797697
Gambier Islands	6063136	-134.9764886	-23.1516994
McDuffie County	1073926	-82.4953064	33.4849984
Diecai District	3471977	110.3357092	25.3225625
Desa Mondulambi	7236101	119.7734361	-9.8831179
Desa Wudi Pandak	7236291	120.0557750	-9.9754629
Town of Western	3669591	-75.3912377	43.3488234
Town of Norwood	3666829	-89.0422119	45.0738003
Le Champ-Saint-Père	166743	-1.3379450	46.5120296
East San Gabriel	7604085	-118.0826495	34.1172671
Castro Caldelas	340327	-7.3990415	42.3725683
Moncloa-Aravaca	356760	-3.7442036	40.4394948
Lac de la Clématite	6377797	-79.0207962	50.2529638
Nescopeck Creek	1948415	-76.1791828	41.0222503
Missinaibi Lake	6451877	-83.7579641	48.3720701
Rivière Berthelot	6433953	-76.1595964	48.5174828
Indian Dock Pond	1926687	-57.6384935	49.1988111
Lake Cunningham	194743	-82.2683160	34.9809155
Gravdalstjørnene	5824445	8.2391784	61.5326964
Estômbar e Parchal	6430205	-8.4992892	37.1398708
Mbaya Musangana	6081617	23.6326916	-6.0981582
Laguna Pabellon	6048615	-67.0443219	-26.0799681
