Częstochowa	2132438	19.1244089	50.8089996
Częstochowa	2831099	19.1244089	50.8089996
Częstochowa	2425991	19.1244089	50.8089996
Londinières	1538253	1.3887918	49.8396532
Sainte-Ramée	153918	-0.6645971	45.4180399
Achenheim	79301	7.6270419	48.5821127
Fréchet-Aure	2280543	0.3753025	42.9297750
Saint-Griède	133245	-0.0967474	43.7252281
Balesfeld	1140565	6.5349597	50.1044767
Cellatica	45369	10.1786797	45.5746039
Golasecca	45808	8.6667864	45.6972915
Bracciano	41760	12.1758960	42.1040102
Zielona Góra	2132418	15.5490054	51.9276631
Zielona Góra	2417990	15.5490054	51.9276631
Zielona Góra	2866219	15.5490054	51.9276631
Ajuricaba	242740	-53.7307762	-28.2080000
Laveissière	2848698	2.7714534	45.0986215
Benabarre	348026	0.4722850	42.0866140
Szentlőrinc	575346	18.0083823	46.0467923
Damscheid	1190011	7.6491803	50.1019925
Bredenbek	548503	9.8457766	54.3138496
Albsfelde	1471102	10.7009802	53.6809682
Ueckermünde	1408058	14.0309609	53.7285445
Maarkedal	398189	3.6432866	50.7977092
Camandona	45560	8.0736212	45.7012903
Talamanca	342212	1.9559957	41.7307571
Lendelede	2248761	3.2320134	50.8850660
Lendelede	1336018	3.2320134	50.8850660
Montearagón	344013	-4.6343170	39.9546822
Barberena	4470192	-90.3933708	14.2925377
Ceylanpınar	1747579	39.8940822	36.9312240
Standenbühl	1254397	7.9799790	49.5965370
Capranica	41883	12.1608907	42.2585394
Blekinge län	54413	15.4021841	56.1240122
Nemesládony	1131477	16.8922894	47.4079646
Tapaninkylä	190563	25.0036746	60.2605910
Königswalde	536632	13.0497245	50.5340440
Krasíkovice	441021	15.2268821	49.4643482
Nagykovácsi	215946	18.8822305	47.5687291
Mosfellsbær	2580604	-21.5689903	64.1460431
Bechhofen	534394	10.5649361	49.1705622
Drangedal	405167	8.9687835	59.0908937
Ngoro-oro	5615517	110.5297554	-7.8371484
gmina Wińsko	2911086	16.6203921	51.4455825
Ehenbichl	37467	10.6825671	47.4584107
Pusztaföldvár	1026194	20.8099091	46.5214638
Eisenbach	319152	8.2867538	47.9696850
La Falaise	444108	1.8274542	48.9384531
Besednice	438505	14.5531597	48.7897026
Inakadate	4107558	140.5434891	40.6448449
Annandale	206696	-77.2085238	38.8384909
Abbenrode	3997095	10.6433194	51.9322351
Jade Bight	3108697	8.1955716	53.4618090
India Lake	4770115	-94.5247094	50.0968768
Lac Sabine	3134403	-74.1533601	49.0378241
Lac Donald	2621113	-66.3575827	55.2247036
Lac Racine	3595623	-76.1502293	48.2667142
Lac Horace	1480385	-76.1542501	47.8953273
Paddehola	5906721	4.9731380	60.5798264
Hataträsket	4666271	22.4242744	66.0622672
Baker Lake	2584706	-66.7250684	54.7150438
Skjærvangen	2365230	11.8854538	59.9046652
Stora Färgen	4056	12.5382528	57.8700323
Baker Lake	5273174	126.1245237	-26.7877391
Lake Aloha	2209408	-120.1383998	38.8665062
Kiteenjärvi	5761305	30.1986100	62.0980938
Calabazas	4468474	-66.9684507	18.3073068
Hammonjärvi	7142139	23.8664997	61.8981888
Jezioro Kałębie	5457475	18.4743577	53.7079621
Étang Perpil	3323955	4.5035736	46.8673157
Stora Färgen	4138474	13.3518976	56.9694831
Harkkojärvi	299859	31.0441632	62.9566249
Linnanjärvi	296421	23.0637538	62.0803577
Kraggtjønna	6208412	10.8344054	62.2143484
