Verneuil-sur-Avre	562958	0.9434228	48.7373168
Grainville-sur-Ry	3013621	1.2999453	49.4729211
Remilly-sur-Tille	153367	5.2251540	47.3080327
Belloy-Saint-Léonard	1804856	1.9145503	49.9060941
Martres-sur-Morge	122699	3.2213960	45.9376507
Cessoy-en-Montois	1402089	3.1391659	48.5092321
Lusigny-sur-Barse	2837951	4.2726529	48.2599063
Ourches-sur-Meuse	2964642	5.6943403	48.6672850
Chaufour-lès-Bonnières	74784	1.4856067	49.0159823
Pergine Valsugana	46718	11.2262600	46.0610399
El Aouana District	6820026	5.6369784	36.6950874
Rožaje Municipality	2317936	20.1903481	42.8679000
Pachalik de Tan Tan	5194307	-11.1053123	28.4330650
Farashband County	6555130	52.2680083	28.6006480
Inkhundla Motjane	1253051	30.9989713	-26.3087816
Khoramabad County	6554991	48.5600782	33.3997775
Sant Cugat del Vallès	347540	2.0684209	41.4673717
Okeechobee County	1210747	-80.8410347	27.3010830
Baldichieri d'Asti	43783	8.0896598	44.9080015
Gournay-sur-Marne	135068	2.5765057	48.8605071
Kirchenpingarten	1070997	11.7907130	49.9331786
Bosco Chiesanuova	45413	11.0362121	45.6486791
Fangshan District	2988896	115.8605007	39.7145318
Chengcheng County	3028611	109.8822953	35.1867587
Rione XX Testaccio	5454344	12.4747567	41.8780651
Bengshan District	3262327	117.3532360	32.8857352
10ème Arrondissement	3157673	2.3920985	6.3838016
Kikwajuni Bondeni	5712750	39.1949562	-6.1675010
Oulun seutukunta	6440783	25.3740241	65.0109145
caïdat d'Ouled M'Barek	5387682	-6.4230854	32.2747314
gmina Maciejowice	2998159	21.5373195	51.7022965
Anquela del Ducado	339796	-2.1592153	40.9585971
Manzanal de Arriba	348901	-6.4430432	41.9702290
Reichardtswerben	2405459	11.9498959	51.2615243
Los Valdecolmenas	344461	-2.4663960	40.1082000
Blomesche Wildnis	447199	9.4481363	53.8064868
Changjiang County	3299074	117.1373790	29.2295188
Presidente Franco	6604966	-54.6424231	-25.6056365
Seal Cove Barasway	1854988	-55.4343811	47.1905252
Lake Quinsigamond	1272518	-71.7552849	42.2734212
Governador Archer	332876	-44.1964128	-5.0045001
Ballysadare River	2419101	-8.4952334	54.2021238
Lievestuoreenjärvi	88761	26.1536168	62.3201575
Vittenbergdammen	1629947	11.0057056	59.9360159
Ancede e Ribadouro	5832281	-8.0468700	41.1083657
Pikku Kangaslampi	7322551	24.5424644	63.3100456
Klapurin Pikkujärvi	7283053	23.4019055	63.8273864
Slatinski Chiflik	6456711	20.8486953	41.3407442
Makeanveden allas	1411816	24.6513888	65.6958753
Rumaithiya-Block 7	5432598	48.0796980	29.3207451
West Abinette Lake	3842821	-82.6907779	47.3477137
Little Weasel Lake	3412286	-80.3408829	46.9658679
Victoria Park Lake	224952	-80.4962256	43.4461890
